objective value:                                    0
b_8_18                                              1   (obj:0)
b_8_19                                              1   (obj:0)
b_8_20                                              1   (obj:0)
b_8_21                                              1   (obj:0)
b_8_22                                              1   (obj:0)
b_8_23                                              1   (obj:0)
b_9_10                                              1   (obj:0)
b_9_11                                              1   (obj:0)
b_9_12                                              1   (obj:0)
b_9_13                                              1   (obj:0)
b_9_14                                              1   (obj:0)
b_9_15                                              1   (obj:0)
b_9_16                                              1   (obj:0)
b_9_17                                              1   (obj:0)
b_9_18                                              1   (obj:0)
b_9_19                                              1   (obj:0)
b_9_20                                              1   (obj:0)
b_9_21                                              1   (obj:0)
b_9_22                                              1   (obj:0)
b_9_23                                              1   (obj:0)
b_12_17                                             1   (obj:0)
b_13_17                                             1   (obj:0)
b_14_17                                             1   (obj:0)
b_15_17                                             1   (obj:0)
b_16_17                                             1   (obj:0)
d0                                                 26   (obj:0)
d1                                                 19   (obj:0)
d2                                                 21   (obj:0)
d3                                                 22   (obj:0)
d4                                                  6   (obj:0)
d5                                                  9   (obj:0)
d6                                                 20   (obj:0)
d7                                                 23   (obj:0)
d8                                                 24   (obj:0)
d9                                                 25   (obj:0)
d10                                                 3   (obj:0)
d11                                                 4   (obj:0)
d12                                                 7   (obj:0)
d13                                                 8   (obj:0)
d14                                                10   (obj:0)
d15                                                11   (obj:0)
d16                                                12   (obj:0)
d17                                                 5   (obj:0)
d18                                                13   (obj:0)
d19                                                14   (obj:0)
d20                                                15   (obj:0)
d21                                                16   (obj:0)
d22                                                17   (obj:0)
d23                                                18   (obj:0)
T                                                 116   (obj:0)
